DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2022.11.25	17:00:00	1751.72	1752.48	1749.57	1749.82	2188	0	10
2022.11.25	17:15:00	1749.83	1750.63	1749.25	1750.36	2405	0	10
2022.11.25	17:30:00	1750.35	1751.23	1749.38	1750.33	2301	0	10
2022.11.25	17:45:00	1750.35	1751.08	1749.66	1750.32	1870	0	10
2022.11.25	18:00:00	1750.34	1751.67	1749.73	1749.96	2381	0	10
2022.11.25	18:15:00	1749.96	1751.43	1749.47	1750.05	1864	0	10
2022.11.25	18:30:00	1750.05	1750.75	1749.80	1750.66	1110	0	10
2022.11.25	18:45:00	1750.66	1751.81	1750.65	1751.41	1200	0	10
2022.11.25	19:00:00	1751.38	1755.59	1751.00	1753.98	1467	0	10
2022.11.25	19:15:00	1754.02	1754.58	1752.81	1754.39	1122	0	10
2022.11.25	19:30:00	1754.46	1754.61	1753.48	1753.78	1075	0	10
2022.11.25	19:45:00	1753.78	1753.80	1752.66	1753.24	1286	0	10
2022.11.25	20:00:00	1753.23	1753.74	1752.85	1753.74	992	0	10
2022.11.25	20:15:00	1753.73	1756.29	1753.36	1756.03	610	0	10
2022.11.28	01:00:00	1753.11	1754.08	1752.20	1752.38	221	0	18
2022.11.28	01:15:00	1752.37	1752.82	1750.56	1750.97	510	0	18
2022.11.28	01:30:00	1751.03	1751.24	1750.14	1751.12	619	0	18
2022.11.28	01:45:00	1751.11	1751.66	1750.29	1750.88	682	0	6
2022.11.28	02:00:00	1750.87	1752.28	1750.84	1752.24	765	0	6
2022.11.28	02:15:00	1752.24	1753.82	1752.17	1753.81	778	0	6
2022.11.28	02:30:00	1753.81	1753.93	1752.85	1753.28	813	0	6
2022.11.28	02:45:00	1753.28	1753.49	1751.58	1751.88	959	0	6
2022.11.28	03:00:00	1751.93	1751.95	1749.22	1749.22	1145	0	6
2022.11.28	03:15:00	1749.22	1749.71	1748.64	1748.80	967	0	10
2022.11.28	03:30:00	1748.80	1749.73	1746.55	1746.74	1457	0	10
2022.11.28	03:45:00	1746.73	1748.06	1745.79	1746.85	1494	0	10
2022.11.28	04:00:00	1746.86	1748.58	1746.22	1748.20	1087	0	10
2022.11.28	04:15:00	1748.20	1749.27	1747.97	1748.84	1044	0	10
2022.11.28	04:30:00	1748.84	1750.57	1748.75	1750.28	1114	0	10
2022.11.28	04:45:00	1750.29	1750.84	1749.43	1750.28	1005	0	10
2022.11.28	05:00:00	1750.28	1750.53	1748.58	1749.26	706	0	10
